id,name,city
burgers,Бургер,almaty
pizza,Пицца,almaty
breakfast,Завтрак,almaty
salad,Салаты,almaty
cafe,Кафе,almaty
doner,Донер,almaty
soup,Супы,almaty
dessert,Десерты,almaty
american,Американская,almaty
japanese,Японская,almaty
sushi,Суши,almaty
central-asian,Восточная,almaty
kebab,Кебаб,almaty
chicken,Курица,almaty
pasta,Паста,almaty
european,Европейское,almaty
asian,Азиатская,almaty
steak,Стейк,almaty
noodles,Лапша,almaty
sandwich,Сэндвичи,almaty
fish,Рыба,almaty
homemade,Домашняя,almaty
kazakh,Казахский,almaty
bakery,Выпечка,almaty
halal,Halal,almaty
italian,Итальянская,almaty
chinese,Китайская,almaty
korean,Корейская,almaty
tapioca,Тапиока,almaty
bbq,BBQ,almaty
lunch,Lunch,almaty
wings,Крылышки,almaty
georgian,Грузинская,almaty
smoothie,Смузи,almaty
turkish,Турецкая,almaty
ramen,Рамен,almaty
street_food,Стрит-фуд,almaty
bowl,Боулы,almaty
brunch,Поздний завтрак,almaty
udon,Удон,almaty
russian,Русская,almaty
waffles,Вафли,almaty
indian,Индийская,almaty
cocktail,Коктейль,almaty
mexican,Мексиканская,almaty
ice_cream,Мороженое,almaty
vegetarian,Вегетарианская,almaty
healthy,Здоровая еда,almaty
czech,Чешская,almaty
caucasian,Кавказская,almaty
uzbek,Узбекский,almaty
french,Французская,almaty
arabic,Арабская,almaty
vegan,Веганская,almaty
wraps,Врапы,almaty
greek,Греческая,almaty
thai,Тайская,almaty
western,вестерн,almaty
